passenger_load,arrival_delay,gate_congestion,malfunction_count,malfunction_severity,inventory_shortage,aircraft_type,route_class,assistance_request,refueling_required,weather_disturbance,maintenance_duration_proxy,catering_duration_proxy,cleaning_duration_proxy,boarding_duration_proxy,refueling_duration_proxy,dominant_bottleneck
84,16,4.42,0,2.56,0.62,A321,medium_haul,False,True,5.72,15.15,14.81,15.41,16.39,24.4,Refueling
181,79,1.59,3,3.52,3.83,B737-800,short_haul,False,True,2.54,21.32,20.07,22.32,20.51,21.83,Cleaning
151,34,8.11,2,5.47,4.97,E195-E2,medium_haul,True,True,3.55,26.93,22.36,24.0,25.19,20.56,Maintenance
183,14,1.69,1,3.15,7.36,A321,short_haul,False,True,3.76,14.95,24.63,21.42,15.18,21.12,Catering
134,12,4.81,3,1.38,8.39,B737-800,short_haul,False,True,5.83,19.78,24.98,19.13,20.2,23.54,Catering
139,56,6.41,1,6.06,9.18,E195-E2,long_haul,False,True,3.76,25.83,27.95,24.14,24.98,23.32,Catering
87,55,6.16,3,4.62,5.75,A320neo,short_haul,False,True,3.59,25.71,20.37,17.42,18.77,24.55,Maintenance
85,75,6.74,0,4.96,4.84,A320neo,medium_haul,False,True,2.77,21.58,22.27,20.28,21.38,25.23,Refueling
81,7,0.8,1,1.04,6.51,B737-800,short_haul,False,False,6.41,13.27,21.12,15.4,13.83,12.34,Catering
215,40,7.84,0,1.17,7.58,A321,long_haul,False,True,7.7,12.87,27.73,24.16,25.44,27.67,Catering
123,21,5.34,3,6.48,2.15,B737-800,long_haul,False,False,4.23,30.03,18.45,19.21,18.58,14.63,Maintenance
118,35,1.5,1,0.57,5.9,A321,medium_haul,False,True,3.31,11.59,23.72,18.09,18.01,20.44,Catering
196,82,4.26,2,8.39,1.0,E195-E2,short_haul,False,True,2.54,31.63,17.42,23.5,25.14,22.04,Maintenance
100,63,3.8,1,4.04,8.27,B737-800,short_haul,False,True,3.92,18.73,26.19,19.06,19.28,22.82,Catering
