route_class,passenger_load,service_profile,shortage_score,trolley_availability,catering_complexity,turnaround_pressure,item_criticality,inventory_category,latent_required_units,latent_available_units,shortage_gap,risk_level,affected_service_area,action_class
medium_haul,189,late_rotation,5.53,0.85,3.15,3.55,5.44,wheelchair_kit,36.95,39.35,0.0,LOW,wheelchair_kit,monitor_only
medium_haul,193,late_rotation,3.03,0.48,6.82,4.6,5.01,beverage,42.17,20.91,21.26,HIGH,beverage,replace_trolley_set
medium_haul,214,late_rotation,4.26,0.96,6.5,5.71,2.15,meal,43.41,43.25,0.16,LOW,meal,monitor_only
long_haul,83,late_rotation,4.79,0.98,6.33,1.61,9.41,mixed_service,42.91,50.63,0.0,LOW,long_haul_service,monitor_only
medium_haul,195,late_rotation,1.06,0.69,8.5,5.35,3.85,wheelchair_kit,38.32,30.83,7.49,LOW,wheelchair_kit,monitor_only
medium_haul,180,high_turnover,3.46,0.82,1.11,7.58,3.92,meal,38.34,31.88,6.46,LOW,meal,monitor_only
medium_haul,136,late_rotation,7.72,0.46,5.99,7.26,4.44,beverage,37.85,11.96,25.89,HIGH,beverage,replace_trolley_set
medium_haul,119,business_priority,5.92,0.6,8.96,8.83,8.03,mixed_service,42.46,24.21,18.26,HIGH,premium_cabin,replace_trolley_set
short_haul,97,standard,6.23,0.65,7.64,8.38,4.16,wheelchair_kit,25.84,26.86,0.0,HIGH,wheelchair_kit,replace_trolley_set
medium_haul,197,business_priority,2.77,0.74,4.21,8.12,1.1,meal,37.83,34.13,3.7,ELEVATED,meal,top_up_before_arrival
medium_haul,191,standard,7.07,0.53,3.29,4.65,6.37,mixed_service,40.2,29.33,10.87,ELEVATED,standard_service,top_up_before_arrival
long_haul,162,late_rotation,2.75,0.79,3.43,4.98,5.33,meal,49.55,36.24,13.31,HIGH,meal,replace_trolley_set
medium_haul,76,high_turnover,2.41,0.7,5.55,4.61,9.03,meal,38.6,35.59,3.01,HIGH,meal,top_up_before_arrival
medium_haul,75,high_turnover,4.89,0.51,6.34,1.17,5.59,meal,38.12,32.89,5.23,ELEVATED,meal,top_up_before_arrival
long_haul,205,high_turnover,6.99,0.68,3.93,4.76,8.7,duty_free,48.55,30.67,17.88,ELEVATED,duty_free,top_up_before_arrival
medium_haul,198,late_rotation,5.61,0.25,1.65,3.76,8.52,wheelchair_kit,36.3,15.06,21.24,HIGH,wheelchair_kit,replace_trolley_set
long_haul,120,late_rotation,3.71,0.7,3.74,4.16,5.07,mixed_service,39.37,31.17,8.2,HIGH,long_haul_service,top_up_before_arrival
long_haul,134,standard,2.34,0.51,5.19,7.53,6.05,duty_free,38.22,22.21,16.01,HIGH,duty_free,replace_trolley_set
medium_haul,177,standard,1.94,0.28,8.81,5.11,3.11,beverage,42.97,14.06,28.91,HIGH,beverage,replace_trolley_set
short_haul,124,standard,5.47,0.32,2.32,8.33,4.61,mixed_service,28.46,8.31,20.15,HIGH,standard_service,replace_trolley_set
short_haul,195,late_rotation,7.21,0.57,3.46,6.06,1.57,wheelchair_kit,28.98,24.53,4.46,ELEVATED,wheelchair_kit,top_up_before_arrival
short_haul,85,high_turnover,5.27,0.53,6.02,1.84,6.47,wheelchair_kit,24.14,29.71,0.0,LOW,wheelchair_kit,monitor_only
medium_haul,196,standard,8.93,0.32,6.08,8.06,4.63,wheelchair_kit,39.73,7.84,31.89,HIGH,wheelchair_kit,replace_trolley_set
short_haul,157,late_rotation,3.44,0.84,4.52,4.66,5.49,duty_free,29.18,38.9,0.0,LOW,duty_free,monitor_only
medium_haul,155,high_turnover,0.24,0.67,7.05,2.22,6.98,wheelchair_kit,34.84,39.31,0.0,LOW,wheelchair_kit,monitor_only
short_haul,206,late_rotation,8.33,0.54,7.7,5.66,4.3,beverage,43.23,25.21,18.03,HIGH,beverage,replace_trolley_set
short_haul,161,business_priority,3.33,0.98,3.25,2.57,6.88,wheelchair_kit,28.46,55.97,0.0,LOW,wheelchair_kit,monitor_only
short_haul,160,late_rotation,5.22,0.49,3.42,3.87,5.28,mixed_service,33.32,20.75,12.57,ELEVATED,standard_service,top_up_before_arrival
