aircraft_type,component_type,aircraft_age_cycles,flight_duration_hr,cabin_temperature,humidity,passenger_load,cycles_since_install,wear_index,malfunction_count,malfunction_severity,environmental_stress,weibull_hazard_proxy,failure_next_n_flights,remaining_flights_estimate,urgency_class
B737-800,galley_chiller,3763,4.29,27.08,35.63,80,983,79.85,1,3.66,3.8,0.125,0,37,OK
A321,galley_chiller,23124,1.27,19.85,25.9,142,1930,58.48,5,3.04,0.92,0.4571,0,23,SOON
E195-E2,ife_display,8833,2.02,17.25,27.23,152,3180,81.35,4,4.74,0.43,0.8242,1,2,CRITICAL
B737-800,lavatory_sensor,22856,4.98,27.39,64.64,176,1115,53.4,1,3.81,4.18,0.1464,0,38,OK
A320neo,galley_chiller,18721,3.55,26.62,40.74,152,3085,23.38,1,2.47,2.88,0.7998,0,7,SOON
E195-E2,lavatory_sensor,8515,1.11,23.55,51.49,97,3695,36.64,1,2.88,2.92,0.7437,0,10,SOON
B737-800,lavatory_sensor,16040,4.14,21.52,47.41,123,1013,66.33,1,3.79,0.98,0.1084,0,32,PLAN
B737-800,seat_power_unit,3833,3.23,17.14,48.82,134,677,65.98,3,5.07,1.99,0.0302,0,33,PLAN
A320neo,cabin_light_driver,22590,4.83,26.47,35.81,212,3876,42.41,2,1.36,2.17,0.647,0,14,SOON
A321,seat_power_unit,11367,4.04,27.74,55.67,147,4083,80.48,3,6.11,4.16,0.9253,1,0,CRITICAL
A321,lavatory_sensor,13614,0.92,20.28,47.31,162,3528,41.63,3,6.15,3.2,0.7293,1,0,CRITICAL
E195-E2,ife_display,7231,1.85,19.95,38.45,176,2537,56.32,0,1.86,0.15,0.5438,0,24,PLAN
B737-800,lavatory_sensor,13092,2.09,27.96,40.9,122,405,55.82,2,7.32,3.92,0.0175,0,30,PLAN
B737-800,lavatory_sensor,13961,4.13,20.43,36.5,209,3758,24.05,1,4.57,1.63,0.6563,1,8,SOON
A321,lavatory_sensor,9143,3.24,30.12,38.57,167,863,46.01,1,4.31,3.26,0.0749,0,40,OK
A320neo,lavatory_sensor,30417,4.34,22.56,37.52,192,782,90.85,0,4.43,2.09,0.0819,0,33,OK
B737-800,cabin_light_driver,10690,3.26,21.45,42.2,178,2957,31.4,4,3.54,1.33,0.3832,0,14,SOON
A320neo,lavatory_sensor,7906,2.41,23.18,57.14,160,1632,59.25,1,3.11,1.04,0.2648,0,30,PLAN
B737-800,cabin_light_driver,18259,1.38,21.45,24.74,74,3565,27.22,1,4.86,0.0,0.4627,1,17,SOON
B737-800,ife_display,11792,1.83,27.5,50.57,154,3587,31.21,4,3.96,2.44,0.7918,0,0,CRITICAL
B737-800,galley_chiller,15601,2.74,26.54,33.95,88,3313,22.54,1,3.72,1.58,0.8408,0,3,CRITICAL
A321,galley_chiller,23248,3.44,27.35,51.97,157,3441,64.94,1,5.43,3.73,0.982,1,0,CRITICAL
E195-E2,lavatory_sensor,5005,5.22,23.74,34.33,171,2265,32.32,1,4.31,1.69,0.3437,1,28,PLAN
E195-E2,ife_display,17158,2.0,21.17,42.54,149,3582,70.81,2,4.34,1.47,0.8894,1,0,CRITICAL
B737-800,seat_power_unit,3411,3.96,22.96,36.25,114,3757,38.44,0,3.31,0.01,0.6454,0,16,SOON
A320neo,galley_chiller,4038,1.6,21.3,18.96,78,1193,50.3,2,4.59,0.0,0.13,1,34,PLAN
A321,cabin_light_driver,5409,4.18,28.87,57.13,167,1777,55.4,2,5.83,4.28,0.2611,0,35,PLAN
A320neo,lavatory_sensor,7359,0.95,27.01,27.63,171,2555,18.9,2,8.06,3.39,0.3861,0,15,SOON
A320neo,lavatory_sensor,12654,3.92,22.63,38.92,139,3531,51.67,2,4.83,1.96,0.7511,1,2,CRITICAL
B737-800,seat_power_unit,29174,1.65,19.29,26.42,173,1633,54.3,2,6.61,0.0,0.169,0,21,PLAN
B737-800,seat_power_unit,28354,1.73,29.16,23.29,182,1111,68.52,2,3.51,2.05,0.0995,0,38,PLAN
E195-E2,galley_chiller,5709,3.47,23.55,35.75,144,1355,30.73,3,4.22,1.88,0.1534,0,27,PLAN
A320neo,cabin_light_driver,30751,2.63,22.48,31.47,76,3290,33.29,0,1.78,0.98,0.4544,0,25,PLAN
A321,ife_display,20709,3.07,29.2,25.14,196,2161,59.87,1,2.1,1.01,0.4661,1,24,PLAN
A321,lavatory_sensor,18414,2.32,20.96,37.61,137,1089,73.42,4,4.87,2.11,0.1374,0,30,PLAN
A320neo,ife_display,25143,5.29,21.72,21.7,167,2948,37.33,1,5.34,0.64,0.5984,1,0,CRITICAL
A320neo,ife_display,16461,2.24,22.08,39.38,202,2726,25.77,1,5.56,1.35,0.481,0,11,SOON
A321,lavatory_sensor,10285,3.39,17.73,36.6,122,2154,42.3,0,2.28,0.58,0.3393,0,32,PLAN
A320neo,cabin_light_driver,17736,4.83,24.26,12.0,160,2563,29.76,5,5.37,0.68,0.2923,0,15,SOON
B737-800,ife_display,23247,3.96,19.95,32.25,72,991,55.16,0,3.2,0.0,0.0775,0,41,OK
A321,ife_display,22051,2.38,20.72,43.15,198,797,28.56,2,4.72,0.34,0.0337,0,30,PLAN
B737-800,cabin_light_driver,7591,3.44,20.18,26.3,78,3322,65.51,3,5.91,0.0,0.5804,1,12,SOON
B737-800,galley_chiller,29255,1.28,20.65,43.63,148,2807,51.83,5,5.83,2.05,0.8172,1,0,CRITICAL
A320neo,cabin_light_driver,10829,3.41,19.64,42.76,121,4010,66.07,2,3.94,0.49,0.7276,0,16,SOON
B737-800,ife_display,25923,2.88,23.99,26.81,75,3853,5.0,1,6.19,0.16,0.6113,0,5,CRITICAL
B737-800,cabin_light_driver,11593,4.39,22.38,37.86,137,1526,16.35,4,4.9,1.08,0.094,0,33,PLAN
A321,ife_display,4588,4.8,23.19,47.07,205,1928,71.27,1,2.72,2.31,0.4077,0,24,PLAN
A320neo,lavatory_sensor,30899,1.82,32.42,28.36,94,3490,35.05,2,4.15,3.62,0.7346,0,12,SOON
B737-800,galley_chiller,19403,1.28,22.38,35.74,112,73,21.61,1,4.49,1.0,0.0001,0,40,OK
A320neo,lavatory_sensor,8850,2.7,25.42,50.65,97,3550,44.35,2,1.53,2.13,0.7454,1,21,SOON
A320neo,galley_chiller,2809,3.36,25.87,28.57,88,737,52.36,1,3.55,2.45,0.0415,0,49,OK
A320neo,lavatory_sensor,6443,2.63,22.75,43.05,103,1112,45.16,3,5.61,2.33,0.109,1,30,PLAN
B737-800,lavatory_sensor,7590,3.79,24.1,26.13,152,2006,56.42,3,8.46,1.21,0.3521,1,9,SOON
B737-800,ife_display,28904,3.23,23.08,36.23,183,2909,53.99,3,3.9,0.58,0.6613,1,2,CRITICAL
B737-800,ife_display,7791,5.21,23.81,42.91,170,1489,53.04,2,5.68,1.27,0.1984,0,18,PLAN
B737-800,galley_chiller,7366,2.78,20.65,12.0,181,3851,72.27,3,5.77,0.1,0.9907,1,0,CRITICAL
A321,lavatory_sensor,26426,1.28,21.02,32.12,173,3222,47.74,3,6.94,0.48,0.6424,1,0,CRITICAL
B737-800,ife_display,27595,2.29,23.07,42.72,125,3049,47.22,1,2.64,0.88,0.6786,1,14,SOON
A320neo,ife_display,8693,3.69,16.0,40.48,200,3181,62.45,2,6.29,1.83,0.7875,1,2,CRITICAL
A320neo,seat_power_unit,21142,2.08,28.98,32.25,94,181,57.95,0,5.72,1.69,0.0014,0,42,OK
B737-800,seat_power_unit,17871,2.14,31.64,25.85,171,3384,31.75,1,6.35,3.23,0.6136,1,5,CRITICAL
A321,seat_power_unit,19067,2.46,23.68,44.91,86,2502,46.34,1,6.32,2.66,0.396,1,19,PLAN
B737-800,cabin_light_driver,11579,4.33,25.66,34.45,181,812,55.89,1,4.09,1.91,0.051,0,41,OK
B737-800,cabin_light_driver,23987,5.22,27.32,44.0,82,3204,37.44,2,5.35,2.09,0.4899,1,16,SOON
