feature,importance_mean,importance_std
cycles_since_install,0.528550285035343,0.00852835120873754
malfunction_severity,0.21696189525758403,0.013392448940227066
component_type,0.15147761313867908,0.011729142636344276
wear_index,0.0686189387509443,0.009312563389980575
malfunction_count,0.053268218627907024,0.0063196072680284715
passenger_load,0.01686595810046007,0.0057442225228382035
aircraft_age_cycles,0.011346342229746481,0.006071300667976671
environmental_stress,0.01041687424932998,0.0035731087165000665
flight_duration_hr,0.004690747897553665,0.0015099956753129643
humidity,0.0036381586170878416,0.0021069980987584234
aircraft_type,-0.00039708531436996597,0.002642347946609982
cabin_temperature,-0.002759299243076996,0.002498392566719479
