id,flight_number,aircraft_type,route,route_class,eta,gate,passenger_load,arrival_delay,gate_congestion,assistance_request,assistance_equipment_confirmed,assistance_localization_status,inventory_shortage_score,trolley_availability,service_profile,catering_complexity,turnaround_pressure,item_criticality,inventory_category,malfunction_count,malfunction_severity,component_type,aircraft_age_cycles,flight_duration_hr,cabin_temperature,humidity,cycles_since_install,wear_index,environmental_stress,weather_disturbance,refueling_required,cabin_report_notes,reported_components,regime,arrival_delay_regime,gate_congestion_regime,malfunction_count_regime,malfunction_severity_regime,inventory_shortage_regime,trolley_availability_regime,passenger_load_regime,assistance_readiness_regime,weather_regime
jatm-0001-low-risk-routine,JATM-0001,B737-800,FRA -> BCN,long_haul,14:00,A01,131,0,3.41,False,False,Pending gate coordination,1.41,0.91,business_priority,2.77,2.92,2.45,mixed_service,0,0.66,lavatory_sensor,18114,3.06,26.12,39.8,922,18.96,2.53,0.32,True,['Controlled synthetic low risk routine evaluation case.'],"['lavatory sensor', 'mixed service']",low_risk_routine,low,low,low,low,low,high,medium,not_required,low
jatm-0002-maintenance-heavy,JATM-0002,E195-E2,CGN -> PMI,long_haul,15:07,B02,112,27,4.95,False,False,Pending gate coordination,5.14,0.82,late_rotation,2.66,3.71,2.08,mixed_service,4,7.33,galley_chiller,10446,2.71,32.14,58.58,2620,86.36,7.23,1.56,False,['Controlled synthetic maintenance heavy evaluation case.'],"['galley chiller', 'mixed service']",maintenance_heavy,high,medium,high,high,medium,high,low,not_required,low
jatm-0003-inventory-heavy,JATM-0003,A320neo,VIE -> MUC,medium_haul,16:14,C03,195,9,5.52,False,False,Pending gate coordination,7.96,0.43,late_rotation,6.41,5.52,9.44,meal,2,2.79,galley_chiller,18570,1.14,20.98,36.7,2129,42.89,3.76,0.51,False,['Controlled synthetic inventory heavy evaluation case.'],"['galley chiller', 'meal']",inventory_heavy,medium,medium,medium,low,high,low,high,not_required,low
jatm-0004-congestion-delay-heavy,JATM-0004,B737-800,ZRH -> HAM,short_haul,17:21,D04,164,41,8.08,False,False,Pending gate coordination,4.7,0.76,business_priority,4.31,9.35,3.7,wheelchair_kit,2,4.18,ife_display,15533,1.62,20.27,36.52,629,45.59,2.33,5.07,True,['Controlled synthetic congestion delay heavy evaluation case.'],"['ife display', 'wheelchair kit']",congestion_delay_heavy,high,high,medium,medium,medium,high,medium,not_required,high
jatm-0005-assistance-readiness,JATM-0005,A320neo,DUB -> BER,medium_haul,18:28,A05,93,12,2.4,True,True,Pending gate coordination,3.39,0.71,late_rotation,3.24,3.37,4.2,wheelchair_kit,1,2.37,cabin_light_driver,15913,2.09,21.84,30.45,2112,42.76,2.65,1.17,True,['Controlled synthetic assistance readiness evaluation case.'],"['cabin light driver', 'wheelchair kit']",assistance_readiness,medium,low,low,low,low,medium,low,confirmed,low
jatm-0006-composite-multi-risk,JATM-0006,A321,MAD -> FRA,medium_haul,19:35,B06,214,50,6.72,False,False,Pending gate coordination,6.47,0.5,high_turnover,6.75,8.68,8.21,beverage,6,5.29,lavatory_sensor,15971,1.44,22.81,25.4,2997,74.89,9.13,4.53,True,['Controlled synthetic composite multi risk evaluation case.'],"['lavatory sensor', 'beverage']",composite_multi_risk,high,medium,high,medium,medium,medium,high,not_required,medium
jatm-0007-low-risk-routine,JATM-0007,A321,MUC -> LHR,short_haul,20:42,C07,96,1,2.44,False,False,Pending gate coordination,2.55,0.97,high_turnover,3.48,3.54,3.81,meal,1,0.43,ife_display,13466,1.86,25.22,34.77,351,34.87,1.66,0.78,True,['Controlled synthetic low risk routine evaluation case.'],"['ife display', 'meal']",low_risk_routine,low,low,low,low,low,high,low,not_required,low
jatm-0008-maintenance-heavy,JATM-0008,A321,OSL -> BER,medium_haul,21:49,D08,92,18,4.25,False,False,Pending gate coordination,5.29,0.9,high_turnover,2.56,5.71,2.93,mixed_service,6,8.78,seat_power_unit,13408,1.13,31.26,75.43,3827,89.72,5.8,1.39,True,['Controlled synthetic maintenance heavy evaluation case.'],"['seat power unit', 'mixed service']",maintenance_heavy,medium,medium,high,high,medium,high,low,not_required,low
jatm-0009-inventory-heavy,JATM-0009,A320neo,AMS -> VIE,long_haul,14:56,A09,171,7,5.82,False,False,Pending gate coordination,9.64,0.43,high_turnover,8.69,7.46,7.9,mixed_service,2,1.65,galley_chiller,15156,1.07,22.81,34.63,1282,56.82,5.28,1.09,True,['Controlled synthetic inventory heavy evaluation case.'],"['galley chiller', 'mixed service']",inventory_heavy,low,medium,medium,low,high,low,medium,not_required,low
jatm-0010-congestion-delay-heavy,JATM-0010,A320neo,CPH -> MUC,short_haul,15:03,B10,178,47,9.8,False,False,Pending gate coordination,4.83,0.62,business_priority,3.78,9.73,4.73,wheelchair_kit,1,3.58,cabin_light_driver,21112,1.54,25.51,41.27,2178,57.05,1.33,5.69,True,['Controlled synthetic congestion delay heavy evaluation case.'],"['cabin light driver', 'wheelchair kit']",congestion_delay_heavy,high,high,low,medium,medium,medium,high,not_required,high
jatm-0011-assistance-readiness,JATM-0011,E195-E2,FRA -> BCN,short_haul,16:10,C11,156,0,3.02,True,True,Pending gate coordination,3.9,0.81,business_priority,5.04,5.61,5.13,wheelchair_kit,0,1.89,lavatory_sensor,10140,1.64,20.51,38.71,705,21.02,4.91,3.47,False,['Controlled synthetic assistance readiness evaluation case.'],"['lavatory sensor', 'wheelchair kit']",assistance_readiness,low,low,low,low,medium,high,medium,confirmed,medium
