scenario_id,flight_number,regime,readiness_score,criticality_score,alert_level,at_risk,assistance_request,assistance_equipment_confirmed,assistance_readiness_state,action_queue_size,p1_action_count,p2_action_count,top_action_category,maintenance_failure_probability,maintenance_urgency,maintenance_remaining_flights,inventory_shortage_risk,inventory_risk_level,bottleneck_dominant,bottleneck_confidence,expected_delay_risk_min,expected_benefit_min,proactive_vs_reactive_delta_min,bottleneck_prob_maintenance,bottleneck_prob_catering,bottleneck_prob_cleaning,bottleneck_prob_boarding,bottleneck_prob_refueling,action_count_maintenance,action_count_inventory_catering,action_count_assistance,action_count_gate_turnaround,action_count_occ_coordination,action_count_boarding,action_count_refueling,action_count_cleaning,action_count_operator_oversight
jatm-0001-low-risk-routine,JATM-0001,low_risk_routine,79.9,32.0,Routine,False,False,False,not_required,3,0,1,OCC coordination,0.148,OK,52,0.244,LOW,Cleaning,0.628,10.1,4.0,5.2,0.0,0.047,0.628,0.293,0.032,0,0,0,0,1,0,0,1,1
jatm-0002-maintenance-heavy,JATM-0002,maintenance_heavy,22.8,100.0,Critical,True,False,False,not_required,5,2,2,Maintenance,0.84,CRITICAL,0,0.365,LOW,Maintenance,1.0,20.4,7.4,8.6,1.0,0.0,0.0,0.0,0.0,2,0,0,1,1,0,0,0,1
jatm-0003-inventory-heavy,JATM-0003,inventory_heavy,48.5,77.9,Priority,True,False,False,not_required,4,1,2,Inventory/Catering,0.556,PLAN,19,0.864,HIGH,Catering,0.985,19.6,7.8,9.0,0.0,0.985,0.007,0.008,0.0,0,2,0,0,1,0,0,0,1
jatm-0004-congestion-delay-heavy,JATM-0004,congestion_delay_heavy,56.0,58.6,Watch,True,False,False,not_required,5,0,3,Inventory/Catering,0.286,OK,39,0.678,ELEVATED,Refueling,0.441,14.2,4.9,6.1,0.253,0.028,0.085,0.192,0.441,0,1,0,1,1,0,1,0,1
jatm-0005-assistance-readiness,JATM-0005,assistance_readiness,76.3,37.8,Routine,False,True,True,confirmed,2,0,0,Gate/Turnaround,0.343,OK,35,0.312,LOW,Boarding,0.575,12.1,4.6,5.8,0.017,0.16,0.129,0.575,0.119,0,0,0,1,0,0,0,0,1
jatm-0006-composite-multi-risk,JATM-0006,composite_multi_risk,5.0,100.0,Critical,True,False,False,not_required,6,3,2,Maintenance,0.751,CRITICAL,4,0.871,HIGH,Maintenance,0.994,23.6,8.4,9.6,0.994,0.002,0.002,0.001,0.001,2,1,0,1,1,0,0,0,1
jatm-0007-low-risk-routine,JATM-0007,low_risk_routine,83.4,26.2,Routine,False,False,False,not_required,2,0,0,Refueling,0.129,OK,55,0.221,LOW,Refueling,0.48,8.7,3.5,4.7,0.001,0.089,0.211,0.219,0.48,0,0,0,0,0,0,1,0,1
jatm-0008-maintenance-heavy,JATM-0008,maintenance_heavy,29.9,97.0,Critical,True,False,False,not_required,5,1,3,Maintenance,0.941,CRITICAL,0,0.317,LOW,Maintenance,1.0,20.3,7.6,8.8,1.0,0.0,0.0,0.0,0.0,2,0,0,1,1,0,0,0,1
jatm-0009-inventory-heavy,JATM-0009,inventory_heavy,56.9,67.7,Priority,True,False,False,not_required,4,1,2,Inventory/Catering,0.377,OK,38,0.878,HIGH,Catering,0.999,18.4,7.4,8.6,0.0,0.999,0.0,0.0,0.0,0,2,0,0,1,0,0,0,1
jatm-0010-congestion-delay-heavy,JATM-0010,congestion_delay_heavy,36.2,82.5,Critical,True,False,False,not_required,5,1,2,Inventory/Catering,0.502,PLAN,28,0.826,HIGH,Refueling,0.463,17.0,5.9,7.1,0.008,0.033,0.076,0.42,0.463,0,1,0,1,1,0,1,0,1
jatm-0011-assistance-readiness,JATM-0011,assistance_readiness,77.7,36.4,Routine,False,True,True,confirmed,3,0,1,OCC coordination,0.117,OK,48,0.369,LOW,Boarding,0.745,11.5,4.6,5.8,0.001,0.145,0.108,0.745,0.001,0,0,0,1,1,0,0,0,1
jatm-0012-composite-multi-risk,JATM-0012,composite_multi_risk,5.0,100.0,Critical,True,True,False,unconfirmed,7,4,2,Maintenance,0.785,CRITICAL,4,0.879,HIGH,Maintenance,0.995,24.2,9.4,10.6,0.995,0.005,0.0,0.0,0.0,2,1,1,1,1,0,0,0,1
jatm-0013-low-risk-routine,JATM-0013,low_risk_routine,85.4,22.0,Routine,False,False,False,not_required,2,0,0,Cleaning,0.078,OK,57,0.16,LOW,Cleaning,0.393,7.3,2.9,4.1,0.002,0.058,0.393,0.369,0.18,0,0,0,0,0,0,0,1,1
