scenario_id,regime,configuration,readiness_score,readiness_delta_from_full,alert_level,action_queue_size,critical_case,priority_case,top_action_category,full_top_action_category,top_action_changed
jatm-0001-low-risk-routine,low_risk_routine,full_system,79.9,0.0,Routine,3,False,False,OCC coordination,OCC coordination,False
jatm-0001-low-risk-routine,low_risk_routine,no_maintenance_in_fusion,80.8,0.9,Routine,3,False,False,OCC coordination,OCC coordination,False
jatm-0001-low-risk-routine,low_risk_routine,no_inventory_in_fusion,82.1,2.2,Routine,3,False,False,OCC coordination,OCC coordination,False
jatm-0001-low-risk-routine,low_risk_routine,no_bottleneck_in_fusion,85.9,6.0,Routine,2,False,False,Cleaning,OCC coordination,True
jatm-0001-low-risk-routine,low_risk_routine,no_assistance_in_fusion,79.9,0.0,Routine,3,False,False,OCC coordination,OCC coordination,False
jatm-0002-maintenance-heavy,maintenance_heavy,full_system,22.8,0.0,Critical,5,True,False,Maintenance,Maintenance,False
jatm-0002-maintenance-heavy,maintenance_heavy,no_maintenance_in_fusion,59.9,37.1,Watch,3,False,False,Gate/Turnaround,Maintenance,True
jatm-0002-maintenance-heavy,maintenance_heavy,no_inventory_in_fusion,26.3,3.5,Critical,5,True,False,Maintenance,Maintenance,False
jatm-0002-maintenance-heavy,maintenance_heavy,no_bottleneck_in_fusion,37.0,14.2,Critical,6,True,False,Maintenance,Maintenance,False
jatm-0002-maintenance-heavy,maintenance_heavy,no_assistance_in_fusion,22.8,0.0,Critical,5,True,False,Maintenance,Maintenance,False
jatm-0003-inventory-heavy,inventory_heavy,full_system,48.5,0.0,Priority,4,False,True,Inventory/Catering,Inventory/Catering,False
jatm-0003-inventory-heavy,inventory_heavy,no_maintenance_in_fusion,60.0,11.5,Watch,4,False,False,Inventory/Catering,Inventory/Catering,False
jatm-0003-inventory-heavy,inventory_heavy,no_inventory_in_fusion,61.4,12.9,Watch,3,False,False,Inventory/Catering,Inventory/Catering,False
jatm-0003-inventory-heavy,inventory_heavy,no_bottleneck_in_fusion,63.5,15.0,Watch,4,False,False,Inventory/Catering,Inventory/Catering,False
jatm-0003-inventory-heavy,inventory_heavy,no_assistance_in_fusion,48.5,0.0,Priority,4,False,True,Inventory/Catering,Inventory/Catering,False
jatm-0004-congestion-delay-heavy,congestion_delay_heavy,full_system,56.0,0.0,Watch,5,False,False,Inventory/Catering,Inventory/Catering,False
jatm-0004-congestion-delay-heavy,congestion_delay_heavy,no_maintenance_in_fusion,58.2,2.2,Watch,5,False,False,Inventory/Catering,Inventory/Catering,False
jatm-0004-congestion-delay-heavy,congestion_delay_heavy,no_inventory_in_fusion,62.9,6.9,Watch,4,False,False,Gate/Turnaround,Inventory/Catering,True
jatm-0004-congestion-delay-heavy,congestion_delay_heavy,no_bottleneck_in_fusion,59.4,3.4,Watch,5,False,False,Inventory/Catering,Inventory/Catering,False
jatm-0004-congestion-delay-heavy,congestion_delay_heavy,no_assistance_in_fusion,56.0,0.0,Watch,5,False,False,Inventory/Catering,Inventory/Catering,False
jatm-0005-assistance-readiness,assistance_readiness,full_system,76.3,0.0,Routine,2,False,False,Gate/Turnaround,Gate/Turnaround,False
jatm-0005-assistance-readiness,assistance_readiness,no_maintenance_in_fusion,78.9,2.6,Routine,2,False,False,Gate/Turnaround,Gate/Turnaround,False
jatm-0005-assistance-readiness,assistance_readiness,no_inventory_in_fusion,79.2,2.9,Routine,2,False,False,Gate/Turnaround,Gate/Turnaround,False
jatm-0005-assistance-readiness,assistance_readiness,no_bottleneck_in_fusion,81.6,5.3,Routine,2,False,False,Cleaning,Gate/Turnaround,True
jatm-0005-assistance-readiness,assistance_readiness,no_assistance_in_fusion,76.3,0.0,Routine,2,False,False,Gate/Turnaround,Gate/Turnaround,False
jatm-0006-composite-multi-risk,composite_multi_risk,full_system,5.0,0.0,Critical,6,True,False,Maintenance,Maintenance,False
jatm-0006-composite-multi-risk,composite_multi_risk,no_maintenance_in_fusion,39.8,34.8,Critical,4,True,False,Inventory/Catering,Maintenance,True
jatm-0006-composite-multi-risk,composite_multi_risk,no_inventory_in_fusion,15.5,10.5,Critical,5,True,False,Maintenance,Maintenance,False
jatm-0006-composite-multi-risk,composite_multi_risk,no_bottleneck_in_fusion,17.6,12.6,Critical,7,True,False,Maintenance,Maintenance,False
jatm-0006-composite-multi-risk,composite_multi_risk,no_assistance_in_fusion,5.0,0.0,Critical,6,True,False,Maintenance,Maintenance,False
jatm-0007-low-risk-routine,low_risk_routine,full_system,83.4,0.0,Routine,2,False,False,Refueling,Refueling,False
jatm-0007-low-risk-routine,low_risk_routine,no_maintenance_in_fusion,84.1,0.7,Routine,2,False,False,Refueling,Refueling,False
jatm-0007-low-risk-routine,low_risk_routine,no_inventory_in_fusion,85.3,1.9,Routine,2,False,False,Refueling,Refueling,False
jatm-0007-low-risk-routine,low_risk_routine,no_bottleneck_in_fusion,87.3,3.9,Routine,2,False,False,Cleaning,Refueling,True
jatm-0007-low-risk-routine,low_risk_routine,no_assistance_in_fusion,83.4,0.0,Routine,2,False,False,Refueling,Refueling,False
jatm-0008-maintenance-heavy,maintenance_heavy,full_system,29.9,0.0,Critical,5,True,False,Maintenance,Maintenance,False
jatm-0008-maintenance-heavy,maintenance_heavy,no_maintenance_in_fusion,68.9,39.0,Watch,3,False,False,Gate/Turnaround,Maintenance,True
