readiness_score,alert_level,dominant_signal,action_category,scenario_id,regime,baseline
89.1,Routine,Delay/Gate,Gate/Turnaround,jatm-0001-low-risk-routine,low_risk_routine,static_delay_gate
72.8,Watch,Delay/Gate,Gate/Turnaround,jatm-0002-maintenance-heavy,maintenance_heavy,static_delay_gate
78.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0003-inventory-heavy,inventory_heavy,static_delay_gate
56.9,Watch,Delay/Gate,Gate/Turnaround,jatm-0004-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
87.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0005-assistance-readiness,assistance_readiness,static_delay_gate
57.5,Watch,Delay/Gate,Gate/Turnaround,jatm-0006-composite-multi-risk,composite_multi_risk,static_delay_gate
91.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0007-low-risk-routine,low_risk_routine,static_delay_gate
78.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0008-maintenance-heavy,maintenance_heavy,static_delay_gate
78.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0009-inventory-heavy,inventory_heavy,static_delay_gate
48.9,Priority,Delay/Gate,Gate/Turnaround,jatm-0010-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
90.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0011-assistance-readiness,assistance_readiness,static_delay_gate
56.4,Watch,Delay/Gate,Gate/Turnaround,jatm-0012-composite-multi-risk,composite_multi_risk,static_delay_gate
91.1,Routine,Delay/Gate,Gate/Turnaround,jatm-0013-low-risk-routine,low_risk_routine,static_delay_gate
71.4,Watch,Delay/Gate,Gate/Turnaround,jatm-0014-maintenance-heavy,maintenance_heavy,static_delay_gate
75.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0015-inventory-heavy,inventory_heavy,static_delay_gate
56.7,Watch,Delay/Gate,Gate/Turnaround,jatm-0016-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
74.1,Routine,Delay/Gate,Gate/Turnaround,jatm-0017-assistance-readiness,assistance_readiness,static_delay_gate
61.0,Watch,Delay/Gate,Gate/Turnaround,jatm-0018-composite-multi-risk,composite_multi_risk,static_delay_gate
95.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0019-low-risk-routine,low_risk_routine,static_delay_gate
80.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0020-maintenance-heavy,maintenance_heavy,static_delay_gate
75.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0021-inventory-heavy,inventory_heavy,static_delay_gate
60.6,Watch,Delay/Gate,Gate/Turnaround,jatm-0022-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
83.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0023-assistance-readiness,assistance_readiness,static_delay_gate
60.3,Watch,Delay/Gate,Gate/Turnaround,jatm-0024-composite-multi-risk,composite_multi_risk,static_delay_gate
89.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0025-low-risk-routine,low_risk_routine,static_delay_gate
82.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0026-maintenance-heavy,maintenance_heavy,static_delay_gate
74.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0027-inventory-heavy,inventory_heavy,static_delay_gate
59.8,Watch,Delay/Gate,Gate/Turnaround,jatm-0028-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
78.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0029-assistance-readiness,assistance_readiness,static_delay_gate
67.8,Watch,Delay/Gate,Gate/Turnaround,jatm-0030-composite-multi-risk,composite_multi_risk,static_delay_gate
94.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0031-low-risk-routine,low_risk_routine,static_delay_gate
75.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0032-maintenance-heavy,maintenance_heavy,static_delay_gate
70.5,Watch,Delay/Gate,Gate/Turnaround,jatm-0033-inventory-heavy,inventory_heavy,static_delay_gate
46.6,Priority,Delay/Gate,Gate/Turnaround,jatm-0034-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
